Time,Correct Angle,Correct Angle Rate,Predicted Angle,Predicted Angle Rate
2.84,38.6,10,38.5959,9.3637
2.86,38.8,10,38.8063,10.5191
2.88,39,10,39.0149,10.4297
2.9,39.2,10,39.2128,9.89773
2.92,39.4,10,39.4177,10.2414
2.94,39.6,10,39.6126,9.74448
2.96,39.8,10,39.8039,9.56564
2.98,40,10,40.001,9.85462
3,40.2,10,40.4748,9.99643
3.02,40.4,10,40.4228,-2.60206
3.04,40.6,10,40.5985,8.78681
3.06,40.8,10,40.7984,9.99644
3.08,41,10,40.9949,9.82142
3.1,41.2,10,41.1805,9.2796
3.12,41.4,10,41.4004,10.999
3.14,41.6,10,41.5889,9.42161
3.16,41.8,10,41.7959,10.3512
3.18,42,10,41.987,9.55383
3.2,42.2,10,42.1919,10.2478
3.22,42.4,10,42.4132,11.0626
3.24,42.6,10,42.6129,9.98828
3.26,42.8,10,42.7852,8.61289
3.28,43,10,42.992,10.3423
3.3,43.2,10,43.2033,10.5644
3.32,43.4,10,43.4029,9.97836
3.34,43.6,10,43.5973,9.72056
3.36,43.8,10,43.7888,9.57659
3.38,44,10,44.0047,10.7907
3.4,44.2,10,44.1923,9.38165
3.42,44.4,10,44.3732,9.04516
3.44,44.6,10,44.5926,10.9692
3.46,44.8,10,44.8019,10.467
3.48,45,10,45.004,10.1049
3.5,45.2,10,45.2094,10.2693
3.52,45.4,10,45.387,8.87865
3.54,45.6,10,45.6088,11.0915
3.56,45.8,10,45.7945,9.28278
3.58,46,10,46.0033,10.4438
3.6,46.2,10,46.2172,10.6929
3.62,46.4,10,46.3999,9.13394
3.64,46.6,10,46.6091,10.4626
3.66,46.8,10,46.8112,10.1015
3.68,47,10,47.0028,9.58025
3.7,47.2,10,47.2033,10.028
3.72,47.4,10,47.3739,8.52758
3.74,47.6,10,47.5936,10.9882
3.76,47.8,10,47.8068,10.6592
3.78,48,10,47.9929,9.30316
3.8,48.2,10,48.2018,10.4444
3.82,48.4,10,48.3921,9.51768
3.84,48.6,10,48.5918,9.98261
3.86,48.8,10,48.7948,10.1526
3.88,49,10,49.0033,10.423
3.9,49.2,10,49.2032,9.99636
3.92,49.4,10,49.3894,9.31086
3.94,49.6,10,49.6053,10.791
3.96,49.8,10,49.7867,9.07126
3.98,50,10,49.9947,10.4008
4,50.2,10,49.9592,10.0134
4.02,50.4,10,50.3972,21.9026
4.04,50.6,10,50.5965,9.96139
4.06,50.8,10,50.8013,10.2412
4.08,51,10,51.0036,10.1147
4.1,51.2,10,51.1984,9.74322
4.12,51.4,10,51.4062,10.3861
4.14,51.6,10,51.5982,9.60303
4.16,51.8,10,51.794,9.78786
4.18,52,10,51.9956,10.0811
4.2,52.2,10,52.1966,10.0502
4.22,52.4,10,52.389,9.62188
4.24,52.6,10,52.5993,10.5131
4.26,52.8,10,52.8029,10.1787
4.28,53,10,53.0095,10.33
4.3,53.2,10,53.1947,9.26355
4.32,53.4,10,53.3865,9.58894
4.34,53.6,10,53.5988,10.6142
4.36,53.8,10,53.8097,10.5433
4.38,54,10,53.9956,9.29707
4.4,54.2,10,54.2189,11.1643
4.42,54.4,10,54.3925,8.67974
4.44,54.6,10,54.5943,10.0917
4.46,54.8,10,54.814,10.9814
4.48,55,10,55.0002,9.31191
4.5,55.2,10,55.2055,10.2652
